id,name,price,description,seo_title,seo_description,seo_keywords,slug,image_path,status,sort_order,updated_at
thali-49,Mini Thali,49,Dal + Sabji + 2 Roti + Chawal.,Mini Thali in Kukas Jaipur from Rs 49,Order a vegetarian Mini Thali in Kukas Jaipur with dal sabji 2 roti and chawal for Rs 49.,"Mini Thali Kukas, Rs 49 thali Jaipur, veg thali Kukas",thali-49,assets/uploads/thali-1787408157671-mini-thali.png.png,active,1,2026-08-22
thali-59,Mini Plus,59,Dal + Sabji + 4 Roti + Chawal.,Mini Plus Thali in Kukas Jaipur from Rs 59,Enjoy a vegetarian Mini Plus meal in Kukas Jaipur with dal sabji 4 roti and chawal for Rs 59.,"Mini Plus Thali Kukas, Rs 59 thali Jaipur, 4 roti thali",thali-59,assets/uploads/thali-1787408180799-mini-thali.png.png,active,2,2026-08-22
thali-89,Special Thali,89,Rs 59 Mini Plus Thali with Rayta + Achar + Salad.,Special Thali in Kukas Jaipur from Rs 89,Order a Special Thali in Kukas Jaipur with the Rs 59 menu plus rayta achar and salad for Rs 89.,"Special Thali Kukas, Rs 89 thali Jaipur, rayta achar salad thali",thali-89,,active,3,2026-08-22
thali-139,Premium Thali,139,Dal + Sabji + Assorted Roti + Chawal + Rayta + Achar + Salad + Paneer Sabji + Sweet.,Premium Thali in Kukas Jaipur from Rs 139,Enjoy a Premium Thali in Kukas Jaipur with assorted roti paneer sabji sweet dal chawal rayta achar and salad for Rs 139.,"Premium Thali Kukas, Rs 139 thali Jaipur, paneer sweet thali",thali-139,,active,4,2026-08-22
thali-179,Royal Thali,179,Seasonable Sabji + Paneer Sabji + Sweet + Dal Fry + Jeera Rice or Pulao + Assorted Roti + Rayta + Achar + Salad + Premium Sweet.,Royal Thali in Kukas Jaipur from Rs 179,Order a Royal Thali in Kukas Jaipur with seasonal sabji paneer sabji sweet dal fry jeera rice or pulao assorted roti rayta achar salad and premium sweet for Rs 179.,"Royal Thali Kukas, Rs 179 thali Jaipur, premium royal thali",thali-179,,active,5,2026-08-22
